Year,Crime_code,Age_group,Gender,Total_count
2013,16,Youths (7 To 19 Years Old),Male,27
2013,16,Above 21 Years Old,Female,0
2013,16,21 Years Old And Below,Female,0
2013,16,Youths (7 To 19 Years Old),Female,0
2013,8,Above 21 Years Old,Male,663
2013,8,21 Years Old And Below,Male,115
2013,8,Youths (7 To 19 Years Old),Male,77
2013,8,Above 21 Years Old,Female,0
2013,8,21 Years Old And Below,Female,3
2013,8,Youths (7 To 19 Years Old),Female,3
2013,7,Above 21 Years Old,Male,146
2013,7,21 Years Old And Below,Male,91
2013,7,Youths (7 To 19 Years Old),Male,73
2013,7,Above 21 Years Old,Female,7
2013,7,21 Years Old And Below,Female,3
2013,7,Youths (7 To 19 Years Old),Female,2
2013,11,Above 21 Years Old,Male,144
2013,11,21 Years Old And Below,Male,85
2013,11,Youths (7 To 19 Years Old),Male,75
2013,11,Above 21 Years Old,Female,8
2013,11,21 Years Old And Below,Female,8
2013,11,Youths (7 To 19 Years Old),Female,6
2013,9,Above 21 Years Old,Male,41
2013,9,21 Years Old And Below,Male,62
2013,9,Youths (7 To 19 Years Old),Male,54
2013,9,Above 21 Years Old,Female,0
2013,9,21 Years Old And Below,Female,4
2013,9,Youths (7 To 19 Years Old),Female,3
2013,10,Above 21 Years Old,Male,52
2013,10,21 Years Old And Below,Male,29
2013,10,Youths (7 To 19 Years Old),Male,27
2013,10,Above 21 Years Old,Female,1
2013,10,21 Years Old And Below,Female,3
2013,10,Youths (7 To 19 Years Old),Female,3
2013,17,Above 21 Years Old,Male,295
2013,17,21 Years Old And Below,Male,312
2013,17,Youths (7 To 19 Years Old),Male,250
2013,17,Above 21 Years Old,Female,5
2013,17,21 Years Old And Below,Female,37
2013,17,Youths (7 To 19 Years Old),Female,33
2013,14,Above 21 Years Old,Male,316
2013,14,21 Years Old And Below,Male,54
2013,14,Youths (7 To 19 Years Old),Male,30
2013,14,Above 21 Years Old,Female,34
2013,14,21 Years Old And Below,Female,2
2013,14,Youths (7 To 19 Years Old),Female,2
2013,18,Above 21 Years Old,Male,993
2013,18,21 Years Old And Below,Male,120
