CrimeLog_ID,Year,Crime_code,PoliceStation_ID,Total
222,2011,11,6.0,0
223,2011,18,,3819
224,2011,11,20.0,0
225,2011,9,29.0,16
226,2011,11,29.0,7
227,2011,7,29.0,1
228,2011,10,32.0,15
229,2011,9,32.0,23
230,2011,8,32.0,48
231,2011,7,33.0,29
232,2011,11,33.0,54
233,2011,9,33.0,62
234,2011,8,33.0,83
235,2011,7,30.0,13
236,2011,7,32.0,18
237,2011,8,29.0,24
238,2011,7,36.0,9
239,2011,10,29.0,7
240,2011,9,35.0,16
241,2011,8,35.0,26
242,2011,7,20.0,0
243,2011,11,36.0,9
244,2011,10,36.0,5
245,2011,11,32.0,36
246,2011,7,15.0,9
247,2011,7,10.0,15
248,2011,8,30.0,44
249,2011,8,19.0,40
250,2011,9,19.0,21
251,2011,10,19.0,9
252,2011,11,19.0,33
253,2011,7,19.0,11
254,2011,8,34.0,49
255,2011,9,34.0,31
256,2011,10,34.0,10
257,2011,11,34.0,27
258,2011,7,34.0,17
259,2011,10,31.0,9
260,2011,11,31.0,25
261,2011,7,31.0,15
262,2011,11,30.0,15
263,2011,9,30.0,40
264,2011,10,30.0,8
265,2011,9,31.0,32
266,2011,8,31.0,48
267,2011,9,36.0,17
268,2011,8,36.0,44
269,2011,11,9.0,0
270,2011,9,21.0,7
271,2011,10,21.0,14
272,2011,11,21.0,17
273,2011,7,21.0,10
274,2011,8,23.0,26
275,2011,9,23.0,5
276,2011,11,23.0,8
277,2011,7,35.0,8
278,2011,7,23.0,6
279,2011,8,24.0,15
280,2011,9,24.0,8
281,2011,11,24.0,7
282,2011,7,24.0,1
283,2011,8,28.0,26
284,2011,8,21.0,108
285,2011,9,28.0,11
286,2011,11,28.0,17
287,2011,7,28.0,6
288,2011,8,13.0,38
289,2011,9,13.0,11
290,2011,8,17.0,73
291,2011,10,33.0,13
292,2011,11,35.0,14
293,2011,8,9.0,0
294,2011,10,9.0,0
295,2011,10,35.0,13
296,2011,8,18.0,0
297,2011,9,18.0,0
298,2011,10,18.0,0
299,2011,11,18.0,0
300,2011,10,28.0,7
301,2011,7,22.0,12
302,2011,10,24.0,1
303,2011,10,22.0,13
304,2011,9,27.0,10
305,2011,10,27.0,6
306,2011,11,27.0,25
307,2011,11,22.0,26
308,2011,8,14.0,47
309,2011,9,14.0,36
310,2011,10,14.0,12
311,2011,11,14.0,18
312,2011,8,26.0,45
313,2011,7,13.0,8
314,2011,9,26.0,21
315,2011,10,26.0,18
316,2011,11,26.0,17
317,2011,7,26.0,23
318,2011,8,25.0,77
319,2011,7,27.0,8
320,2011,10,25.0,9
321,2011,9,25.0,9
322,2011,9,22.0,16
323,2011,8,22.0,49
324,2011,10,23.0,7
325,2011,11,12.0,18
326,2011,11,13.0,25
327,2011,8,15.0,44
328,2011,7,12.0,10
329,2011,10,10.0,20
330,2011,9,10.0,18
331,2011,8,10.0,58
332,2011,7,25.0,12
333,2011,11,10.0,13
334,2011,11,25.0,18
335,2012,12,30.0,419
336,2012,13,31.0,30
337,2012,12,31.0,324
338,2012,13,32.0,77
339,2012,12,33.0,0
340,2012,13,33.0,0
341,2012,13,20.0,43
342,2012,13,18.0,26
343,2012,13,30.0,30
344,2012,12,20.0,458
345,2012,12,32.0,347
346,2012,12,29.0,353
347,2012,12,35.0,78
348,2012,12,19.0,288
349,2012,13,19.0,34
350,2012,12,34.0,564
351,2012,13,34.0,32
352,2012,12,36.0,373
353,2012,13,36.0,17
354,2012,13,35.0,7
355,2012,12,17.0,213
356,2012,13,17.0,33
357,2012,12,16.0,270
358,2012,13,16.0,22
359,2012,12,18.0,261
360,2012,13,29.0,22
361,2012,13,20.0,0
362,2012,11,20.0,12
363,2012,13,18.0,0
364,2012,12,8.0,195
365,2012,8,3.0,48
366,2012,9,7.0,6
367,2012,7,9.0,6
368,2012,10,7.0,3
369,2012,8,1.0,26
370,2012,9,1.0,9
371,2012,11,1.0,28
372,2012,7,1.0,3
373,2012,10,1.0,0
374,2012,9,5.0,37
375,2012,10,5.0,4
376,2012,12,20.0,0
377,2012,11,5.0,9
378,2012,8,7.0,31
379,2012,8,5.0,34
380,2012,11,9.0,13
381,2012,7,20.0,8
382,2012,9,33.0,0
383,2012,12,7.0,0
384,2012,13,7.0,0
385,2012,12,6.0,0
386,2012,13,6.0,0
387,2012,12,9.0,0
388,2012,13,9.0,0
389,2012,12,18.0,0
390,2012,7,5.0,3
391,2012,13,8.0,17
392,2012,12,15.0,245
393,2012,13,11.0,22
394,2012,13,13.0,38
395,2012,11,7.0,12
396,2012,13,15.0,18
397,2012,12,27.0,185
398,2012,13,27.0,77
399,2012,12,14.0,234
400,2012,13,14.0,29
401,2012,12,26.0,180
402,2012,13,26.0,28
403,2012,12,25.0,18
404,2012,13,25.0,4
