Year,Quarter,Status,Rate
2006, 3Q,Total,2.4
2006, 3Q,Resident,3.2
2006, 3Q,Citizen,3.2
2006, 4Q,Total,2.6
2006, 4Q,Resident,3.6
2006, 4Q,Citizen,3.7
2007, 1Q,Total,2.5
2007, 1Q,Resident,3.4
2007, 1Q,Citizen,3.5
2007, 2Q,Total,2.9
2007, 2Q,Resident,4.0
2007, 2Q,Citizen,4.2
2007, 3Q,Total,1.5
2007, 3Q,Resident,2.1
2007, 3Q,Citizen,2.2
2007, 4Q,Total,1.6
2007, 4Q,Resident,2.3
2007, 4Q,Citizen,2.5
2008, 1Q,Total,1.8
2008, 1Q,Resident,2.6
2008, 1Q,Citizen,2.8
2008, 2Q,Total,2.8
2008, 2Q,Resident,4.0
2008, 2Q,Citizen,4.1
2008, 3Q,Total,1.9
2008, 3Q,Resident,2.8
2008, 3Q,Citizen,2.9
2008, 4Q,Total,2.4
2008, 4Q,Resident,3.5
2008, 4Q,Citizen,3.7
2009, 1Q,Total,3.0
2009, 1Q,Resident,4.4
2009, 1Q,Citizen,4.7
2009, 2Q,Total,4.1
2009, 2Q,Resident,5.9
2009, 2Q,Citizen,6.1
2009, 3Q,Total,2.9
2009, 3Q,Resident,4.1
2009, 3Q,Citizen,4.2
2009, 4Q,Total,2.1
2009, 4Q,Resident,2.9
2009, 4Q,Citizen,3.1
2010, 1Q,Total,2.1
2010, 1Q,Resident,3.1
2010, 1Q,Citizen,3.2
2010, 2Q,Total,2.8
2010, 2Q,Resident,4.1
2010, 2Q,Citizen,4.4
2010, 3Q,Total,1.8
2010, 3Q,Resident,2.6
2010, 3Q,Citizen,2.8
2010, 4Q,Total,2.0
2010, 4Q,Resident,2.7
2010, 4Q,Citizen,3.0
2011, 1Q,Total,1.8
2011, 1Q,Resident,2.6
2011, 1Q,Citizen,2.7
2011, 2Q,Total,2.7
2011, 2Q,Resident,3.9
2011, 2Q,Citizen,4.0
2011, 3Q,Total,1.8
2011, 3Q,Resident,2.5
2011, 3Q,Citizen,2.6
2011, 4Q,Total,1.8
2011, 4Q,Resident,2.5
2011, 4Q,Citizen,2.7
2012, 1Q,Total,1.9
2012, 1Q,Resident,2.8
2012, 1Q,Citizen,3.0
2012, 2Q,Total,2.6
2012, 2Q,Resident,3.7
2012, 2Q,Citizen,3.9
2012, 3Q,Total,1.7
2012, 3Q,Resident,2.4
2012, 3Q,Citizen,2.6
2012, 4Q,Total,1.6
2012, 4Q,Resident,2.4
2012, 4Q,Citizen,2.6
2013, 1Q,Total,1.8
2013, 1Q,Resident,2.7
2013, 1Q,Citizen,2.8
2013, 2Q,Total,2.6
2013, 2Q,Resident,3.9
2013, 2Q,Citizen,4.0
2013, 3Q,Total,1.6
2013, 3Q,Resident,2.2
2013, 3Q,Citizen,2.4
2013, 4Q,Total,1.6
2013, 4Q,Resident,2.3
2013, 4Q,Citizen,2.5
2014, 1Q,Total,1.9
2014, 1Q,Resident,2.7
2014, 1Q,Citizen,2.8
2014, 2Q,Total,2.6
2014, 2Q,Resident,3.7
2014, 2Q,Citizen,3.9
2014, 3Q,Total,1.7
2014, 3Q,Resident,2.3
2014, 3Q,Citizen,2.4
2014, 4Q,Total,1.6
2014, 4Q,Resident,2.2
2014, 4Q,Citizen,2.3
2015, 1Q,Total,1.7
2015, 1Q,Resident,2.4
2015, 1Q,Citizen,2.5
2015, 2Q,Total,2.6
2015, 2Q,Resident,3.8
2015, 2Q,Citizen,4.0
2015, 3Q,Total,1.7
2015, 3Q,Resident,2.5
2015, 3Q,Citizen,2.7
2015, 4Q,Total,1.6
2015, 4Q,Resident,2.4
2015, 4Q,Citizen,2.5
2016, 1Q,Total,1.8
2016, 1Q,Resident,2.5
2016, 1Q,Citizen,2.5
2016, 2Q,Total,2.8
2016, 2Q,Resident,4.1
2016, 2Q,Citizen,4.2
2016, 3Q,Total,1.8
2016, 3Q,Resident,2.5
2016, 3Q,Citizen,2.7
2016, 4Q,Total,1.9
2016, 4Q,Resident,2.7
2016, 4Q,Citizen,2.9
2017, 1Q,Total,2.1
2017, 1Q,Resident,3.0
2017, 1Q,Citizen,3.2
2017, 2Q,Total,2.9
2017, 2Q,Resident,4.2
2017, 2Q,Citizen,4.4
2017, 3Q,Total,1.9
2017, 3Q,Resident,2.7
2017, 3Q,Citizen,2.8
2017, 4Q,Total,1.8
2017, 4Q,Resident,2.5
2017, 4Q,Citizen,2.6
2018, 1Q,Total,1.9
2018, 1Q,Resident,2.7
2018, 1Q,Citizen,2.7
2018, 2Q,Total,2.7
2018, 2Q,Resident,3.9
