Year,Crime_code,Age_group,Gender,Total_count
2012,14,     Unknown Age ,Female,0
2012,18,     Above 21 Years Old * ,Male,840
2012,18,     21 Years Old And Below * ,Male,120
2012,18,     Youths (7 To 19 Years Old) ,Male,74
2012,18,     Unknown Age ,Male,0
2012,18,     Above 21 Years Old * ,Female,680
2012,18,     21 Years Old And Below * ,Female,176
2012,18,     Youths (7 To 19 Years Old) ,Female,130
2012,18,     Unknown Age ,Female,0
2013,15,     Above 21 Years Old * ,Male,9
2013,15,     21 Years Old And Below * ,Male,2
2013,15,     Youths (7 To 19 Years Old) ,Male,1
2013,15,     Unknown Age ,Male,0
2013,15,     Above 21 Years Old * ,Female,5
2013,15,     21 Years Old And Below * ,Female,1
2013,15,     Youths (7 To 19 Years Old) ,Female,1
2013,15,     Unknown Age ,Female,0
2013,16,     Above 21 Years Old * ,Male,0
2013,16,     21 Years Old And Below * ,Male,0
2013,16,     Youths (7 To 19 Years Old) ,Male,0
2013,16,     Unknown Age ,Male,0
2013,16,     Above 21 Years Old * ,Female,40
2013,16,     21 Years Old And Below * ,Female,83
2013,16,     Youths (7 To 19 Years Old) ,Female,79
2013,16,     Unknown Age ,Female,0
2013,8,     Above 21 Years Old * ,Male,22
2013,8,     21 Years Old And Below * ,Male,63
2013,8,     Youths (7 To 19 Years Old) ,Male,56
2013,8,     Unknown Age ,Male,1
2013,8,     Above 21 Years Old * ,Female,767
2013,8,     21 Years Old And Below * ,Female,579
2013,8,     Youths (7 To 19 Years Old) ,Female,446
2013,8,     Unknown Age ,Female,3
2013,7,     Above 21 Years Old * ,Male,157
2013,7,     21 Years Old And Below * ,Male,37
2013,7,     Youths (7 To 19 Years Old) ,Male,27
2013,7,     Unknown Age ,Male,1
2013,7,     Above 21 Years Old * ,Female,67
2013,7,     21 Years Old And Below * ,Female,13
2013,7,     Youths (7 To 19 Years Old) ,Female,9
2013,7,     Unknown Age ,Female,0
2013,10,     Above 21 Years Old * ,Male,37
2013,10,     21 Years Old And Below * ,Male,8
2013,10,     Youths (7 To 19 Years Old) ,Male,7
2013,10,     Unknown Age ,Male,0
2013,10,     Above 21 Years Old * ,Female,162
2013,10,     21 Years Old And Below * ,Female,30
2013,10,     Youths (7 To 19 Years Old) ,Female,21
2013,10,     Unknown Age ,Female,4
2013,17,     Above 21 Years Old * ,Male,190
2013,17,     21 Years Old And Below * ,Male,83
2013,17,     Youths (7 To 19 Years Old) ,Male,56
2013,17,     Unknown Age ,Male,1
2013,17,     Above 21 Years Old * ,Female,11
2013,17,     21 Years Old And Below * ,Female,10
2013,17,     Youths (7 To 19 Years Old) ,Female,5
2013,17,     Unknown Age ,Female,0
2013,14,     Above 21 Years Old * ,Male,342
2013,14,     21 Years Old And Below * ,Male,74
2013,14,     Youths (7 To 19 Years Old) ,Male,51
2013,14,     Unknown Age ,Male,2
2013,14,     Above 21 Years Old * ,Female,80
2013,14,     21 Years Old And Below * ,Female,13
2013,14,     Youths (7 To 19 Years Old) ,Female,11
2013,14,     Unknown Age ,Female,0
2013,18,     Above 21 Years Old * ,Male,1147
2013,18,     21 Years Old And Below * ,Male,180
2013,18,     Youths (7 To 19 Years Old) ,Male,108
2013,18,     Unknown Age ,Male,1
2013,18,     Above 21 Years Old * ,Female,842
2013,18,     21 Years Old And Below * ,Female,141
2013,18,     Youths (7 To 19 Years Old) ,Female,80
2013,18,     Unknown Age ,Female,1
2014,15,     Above 21 Years Old * ,Male,5
2014,15,     21 Years Old And Below * ,Male,2
2014,15,     Youths (7 To 19 Years Old) ,Male,1
2014,15,     Unknown Age ,Male,0
2014,15,     Above 21 Years Old * ,Female,7
2014,15,     21 Years Old And Below * ,Female,0
2014,15,     Youths (7 To 19 Years Old) ,Female,0
2014,15,     Unknown Age ,Female,0
2014,16,     Above 21 Years Old * ,Male,0
2014,16,     21 Years Old And Below * ,Male,0
2014,16,     Youths (7 To 19 Years Old) ,Male,0
2014,16,     Unknown Age ,Male,0
2014,16,     Above 21 Years Old * ,Female,51
2014,16,     21 Years Old And Below * ,Female,115
2014,16,     Youths (7 To 19 Years Old) ,Female,104
2014,16,     Unknown Age ,Female,0
2014,8,     Above 21 Years Old * ,Male,18
2014,8,     21 Years Old And Below * ,Male,67
2014,8,     Youths (7 To 19 Years Old) ,Male,65
2014,8,     Unknown Age ,Male,0
2014,8,     Above 21 Years Old * ,Female,793
2014,8,     21 Years Old And Below * ,Female,568
2014,8,     Youths (7 To 19 Years Old) ,Female,439
2014,8,     Unknown Age ,Female,4
2014,7,     Above 21 Years Old * ,Male,155
2014,7,     21 Years Old And Below * ,Male,38
2014,7,     Youths (7 To 19 Years Old) ,Male,33
2014,7,     Unknown Age ,Male,0
2014,7,     Above 21 Years Old * ,Female,46
2014,7,     21 Years Old And Below * ,Female,13
2014,7,     Youths (7 To 19 Years Old) ,Female,9
2014,7,     Unknown Age ,Female,1
2014,10,     Above 21 Years Old * ,Male,36
2014,10,     21 Years Old And Below * ,Male,3
2014,10,     Youths (7 To 19 Years Old) ,Male,3
2014,10,     Unknown Age ,Male,0
2014,10,     Above 21 Years Old * ,Female,114
2014,10,     21 Years Old And Below * ,Female,12
2014,10,     Youths (7 To 19 Years Old) ,Female,9
2014,10,     Unknown Age ,Female,0
2014,17,     Above 21 Years Old * ,Male,163
2014,17,     21 Years Old And Below * ,Male,73
2014,17,     Youths (7 To 19 Years Old) ,Male,60
2014,17,     Unknown Age ,Male,0
2014,17,     Above 21 Years Old * ,Female,11
2014,17,     21 Years Old And Below * ,Female,5
2014,17,     Youths (7 To 19 Years Old) ,Female,2
2014,17,     Unknown Age ,Female,0
2014,14,     Above 21 Years Old * ,Male,358
2014,14,     21 Years Old And Below * ,Male,66
2014,14,     Youths (7 To 19 Years Old) ,Male,52
2014,14,     Unknown Age ,Male,0
2014,14,     Above 21 Years Old * ,Female,78
2014,14,     21 Years Old And Below * ,Female,13
2014,14,     Youths (7 To 19 Years Old) ,Female,9
2014,14,     Unknown Age ,Female,0
2014,18,     Above 21 Years Old * ,Male,1949
2014,18,     21 Years Old And Below * ,Male,311
2014,18,     Youths (7 To 19 Years Old) ,Male,188
2014,18,     Unknown Age ,Male,1
2014,18,     Above 21 Years Old * ,Female,1468
2014,18,     21 Years Old And Below * ,Female,217
2014,18,     Youths (7 To 19 Years Old) ,Female,120
2014,18,     Unknown Age ,Female,1
2015,15,     Above 21 Years Old * ,Male,10
2015,15,     21 Years Old And Below * ,Male,1
2015,15,     Youths (7 To 19 Years Old) ,Male,0
2015,15,     Unknown Age ,Male,0
2015,15,     Above 21 Years Old * ,Female,3
2015,15,     21 Years Old And Below * ,Female,0
2015,15,     Youths (7 To 19 Years Old) ,Female,0
2015,15,     Unknown Age ,Female,0
2015,16,     Above 21 Years Old * ,Male,0
2015,16,     21 Years Old And Below * ,Male,0
2015,16,     Youths (7 To 19 Years Old) ,Male,0
2015,16,     Unknown Age ,Male,0
2015,16,     Above 21 Years Old * ,Female,60
2015,16,     21 Years Old And Below * ,Female,107
2015,16,     Youths (7 To 19 Years Old) ,Female,93
2015,16,     Unknown Age ,Female,0
2015,8,     Above 21 Years Old * ,Male,31
2015,8,     21 Years Old And Below * ,Male,59
2015,8,     Youths (7 To 19 Years Old) ,Male,49
2015,8,     Unknown Age ,Male,0
2015,8,     Above 21 Years Old * ,Female,756
2015,8,     21 Years Old And Below * ,Female,519
2015,8,     Youths (7 To 19 Years Old) ,Female,416
2015,8,     Unknown Age ,Female,4
2015,7,     Above 21 Years Old * ,Male,88
2015,7,     21 Years Old And Below * ,Male,8
2015,7,     Youths (7 To 19 Years Old) ,Male,4
2015,7,     Unknown Age ,Male,0
2015,7,     Above 21 Years Old * ,Female,32
2015,7,     21 Years Old And Below * ,Female,4
2015,7,     Youths (7 To 19 Years Old) ,Female,3
2015,7,     Unknown Age ,Female,0
2015,10,     Above 21 Years Old * ,Male,9
2015,10,     21 Years Old And Below * ,Male,3
2015,10,     Youths (7 To 19 Years Old) ,Male,3
2015,10,     Unknown Age ,Male,0
2015,10,     Above 21 Years Old * ,Female,67
2015,10,     21 Years Old And Below * ,Female,5
2015,10,     Youths (7 To 19 Years Old) ,Female,5
2015,10,     Unknown Age ,Female,0
2015,17,     Above 21 Years Old * ,Male,108
2015,17,     21 Years Old And Below * ,Male,57
2015,17,     Youths (7 To 19 Years Old) ,Male,44
2015,17,     Unknown Age ,Male,0
2015,17,     Above 21 Years Old * ,Female,4
2015,17,     21 Years Old And Below * ,Female,11
2015,17,     Youths (7 To 19 Years Old) ,Female,6
2015,17,     Unknown Age ,Female,0
2015,14,     Above 21 Years Old * ,Male,353
2015,14,     21 Years Old And Below * ,Male,56
2015,14,     Youths (7 To 19 Years Old) ,Male,34
2015,14,     Unknown Age ,Male,0
2015,14,     Above 21 Years Old * ,Female,96
2015,14,     21 Years Old And Below * ,Female,17
2015,14,     Youths (7 To 19 Years Old) ,Female,12
2015,14,     Unknown Age ,Female,0
2015,18,     Above 21 Years Old * ,Male,3614
2015,18,     21 Years Old And Below * ,Male,645
2015,18,     Youths (7 To 19 Years Old) ,Male,360
2015,18,     Unknown Age ,Male,0
2015,18,     Above 21 Years Old * ,Female,2284
2015,18,     21 Years Old And Below * ,Female,280
2015,18,     Youths (7 To 19 Years Old) ,Female,159
2015,18,     Unknown Age ,Female,0
2016,15,     Above 21 Years Old * ,Male,10
2016,15,     21 Years Old And Below * ,Male,1
2016,15,     Youths (7 To 19 Years Old) ,Male,0
2016,15,     Unknown Age ,Male,0
2016,15,     Above 21 Years Old * ,Female,7
2016,15,     21 Years Old And Below * ,Female,0
2016,15,     Youths (7 To 19 Years Old) ,Female,0
